row,1,2,3,4,5,6,7,8,9,10,11,12
A,H 04_R01,H 04_R01,H 04_R01,Wash,H 05_R01,H 05_R01,H 05_R01,Wash,H 06_R01,H 06_R01,H 06_R01,Wash
B,H 04_R02,H 04_R02,H 04_R02,Wash,H 05_R02,H 05_R02,H 05_R02,Wash,H 06_R02,H 06_R02,H 06_R02,Wash
C,H 04_R03,H 04_R03,H 04_R03,Wash,H 05_R03,H 05_R03,H 05_R03,Wash,H 06_R03,H 06_R03,H 06_R03,Wash
D,H 04_R04,H 04_R04,H 04_R04,Wash,H 05_R04,H 05_R04,H 05_R04,Wash,H 06_R04,H 06_R04,H 06_R04,Wash
E,H 04_R05,H 04_R05,H 04_R05,Wash,H 05_R05,H 05_R05,H 05_R05,Wash,H 06_R05,H 06_R05,H 06_R05,Wash
F,H 04_R06,H 04_R06,H 04_R06,Wash,H 05_R06,H 05_R06,H 05_R06,Wash,H 06_R06,H 06_R06,H 06_R06,Wash
G,H 04_R07,H 04_R07,H 04_R07,Wash,H 05_R07,H 05_R07,H 05_R07,Wash,H 06_R07,H 06_R07,H 06_R07,Wash
H,H 04_R08,H 04_R08,H 04_R08,Wash,H 05_R08,H 05_R08,H 05_R08,Wash,H 06_R08,H 06_R08,H 06_R08,Wash
