row,1,2,3,4,5,6,7,8,9,10,11,12
A,H 46_R01,H 46_R01,H 46_R01,Wash,H 47_R01,H 47_R01,H 47_R01,Wash,H 50_R01,H 50_R01,H 50_R01,Wash
B,H 46_R02,H 46_R02,H 46_R02,Wash,H 47_R02,H 47_R02,H 47_R02,Wash,H 50_R02,H 50_R02,H 50_R02,Wash
C,H 46_R03,H 46_R03,H 46_R03,Wash,H 47_R03,H 47_R03,H 47_R03,Wash,H 50_R03,H 50_R03,H 50_R03,Wash
D,H 46_R04,H 46_R04,H 46_R04,Wash,H 47_R04,H 47_R04,H 47_R04,Wash,H 50_R04,H 50_R04,H 50_R04,Wash
E,H 46_R05,H 46_R05,H 46_R05,Wash,H 47_R05,H 47_R05,H 47_R05,Wash,H 50_R05,H 50_R05,H 50_R05,Wash
F,H 46_R06,H 46_R06,H 46_R06,Wash,H 47_R06,H 47_R06,H 47_R06,Wash,H 50_R06,H 50_R06,H 50_R06,Wash
G,H 46_R07,H 46_R07,H 46_R07,Wash,H 47_R07,H 47_R07,H 47_R07,Wash,H 50_R07,H 50_R07,H 50_R07,Wash
H,H 46_R08,H 46_R08,H 46_R08,Wash,H 47_R08,H 47_R08,H 47_R08,Wash,H 50_R08,H 50_R08,H 50_R08,Wash
