row,1,2,3,4,5,6,7,8,9,10,11,12
A,H 26_R01,H 26_R01,H 26_R01,Wash,H 27_R01,H 27_R01,H 27_R01,Wash,H 28_R01,H 28_R01,H 28_R01,Wash
B,H 26_R02,H 26_R02,H 26_R02,Wash,H 27_R02,H 27_R02,H 27_R02,Wash,H 28_R02,H 28_R02,H 28_R02,Wash
C,H 26_R03,H 26_R03,H 26_R03,Wash,H 27_R03,H 27_R03,H 27_R03,Wash,H 28_R03,H 28_R03,H 28_R03,Wash
D,H 26_R04,H 26_R04,H 26_R04,Wash,H 27_R04,H 27_R04,H 27_R04,Wash,H 28_R04,H 28_R04,H 28_R04,Wash
E,H 26_R05,H 26_R05,H 26_R05,Wash,H 27_R05,H 27_R05,H 27_R05,Wash,H 28_R05,H 28_R05,H 28_R05,Wash
F,H 26_R06,H 26_R06,H 26_R06,Wash,H 27_R06,H 27_R06,H 27_R06,Wash,H 28_R06,H 28_R06,H 28_R06,Wash
G,H 26_R07,H 26_R07,H 26_R07,Wash,H 27_R07,H 27_R07,H 27_R07,Wash,H 28_R07,H 28_R07,H 28_R07,Wash
H,H 26_R08,H 26_R08,H 26_R08,Wash,H 27_R08,H 27_R08,H 27_R08,Wash,H 28_R08,H 28_R08,H 28_R08,Wash
