row,1,2,3,4,5,6,7,8,9,10,11,12
A,2.5,2.5,Wash,3.5,3.5,Wash,4.5,4.5,Wash,5.5,5.5,Wash
B,Wash,Wash,Wash,Wash,Wash,Wash,Wash,Wash,Wash,Wash,Wash,Wash
C,6.5,6.5,Wash,7.5,7.5,Wash,2.5_m5,2.5_m5,Wash,3.5_m4,3.5_m4,Wash
D,4.5_m3,4.5_m3,Wash,5.5_m2,5.5_m2,Wash,6.5_m1,6.5_m1,Wash,Wash,Wash,Wash
E,Wash,Wash,Wash,Wash,Wash,Wash,Wash,Wash,Wash,Wash,24,24
F,Wash,25,25,Wash,26,26,Wash,27,27,Wash,29,29
G,Wash,24_m5,24_m5,Wash,25_m4,25_m4,Wash,26_m3,26_m3,Wash,27_m2,27_m2
H,Wash,48,48,Wash,48_m5,48_m5,Wash,Wash,Wash,Wash,Wash,Wash
