row,1,2,3,4,5,6,7,8,9,10,11,12
A,19_R01,19_R01,19_R01,Wash,20_R01,20_R01,20_R01,Wash,21_R01,21_R01,21_R01,Wash
B,19_R02,19_R02,19_R02,Wash,20_R02,20_R02,20_R02,Wash,21_R02,21_R02,21_R02,Wash
C,19_R03,19_R03,19_R03,Wash,20_R03,20_R03,20_R03,Wash,21_R03,21_R03,21_R03,Wash
D,19_R04,19_R04,19_R04,Wash,20_R04,20_R04,20_R04,Wash,21_R04,21_R04,21_R04,Wash
E,19_R05,19_R05,19_R05,Wash,20_R05,20_R05,20_R05,Wash,21_R05,21_R05,21_R05,Wash
F,19_R06,19_R06,19_R06,Wash,20_R06,20_R06,20_R06,Wash,21_R06,21_R06,21_R06,Wash
G,19_no worms,19_no worms,19_no worms,Wash,20_no worms,20_no worms,20_no worms,Wash,21_no worms,21_no worms,21_no worms,Wash
H,19_no food,19_no food,19_no food,Wash,20_no food,20_no food,20_no food,Wash,21_no food,21_no food,21_no food,Wash
