row,1,2,3,4,5,6,7,8,9,10,11,12
A,61_R01,61_R01,61_R01,Wash,62_R01,62_R01,62_R01,Wash,63_R01,63_R01,63_R01,Wash
B,61_R02,61_R02,61_R02,Wash,62_R02,62_R02,62_R02,Wash,63_R02,63_R02,63_R02,Wash
C,61_R03,61_R03,61_R03,Wash,62_R03,62_R03,62_R03,Wash,63_R03,63_R03,63_R03,Wash
D,61_R04,61_R04,61_R04,Wash,62_R04,62_R04,62_R04,Wash,63_R04,63_R04,63_R04,Wash
E,61_R05,61_R05,61_R05,Wash,62_R05,62_R05,62_R05,Wash,63_R05,63_R05,63_R05,Wash
F,61_R06,61_R06,61_R06,Wash,62_R06,62_R06,62_R06,Wash,63_R06,63_R06,63_R06,Wash
G,61_no worms,61_no worms,61_no worms,Wash,62_no worms,62_no worms,62_no worms,Wash,63_no worms,63_no worms,63_no worms,Wash
H,61_no food,61_no food,61_no food,Wash,62_no food,62_no food,62_no food,Wash,63_no food,63_no food,63_no food,Wash
