row,1,2,3,4,5,6,7,8,9,10,11,12
A,34_R01,34_R01,34_R01,Wash,35_R01,35_R01,35_R01,Wash,36_R01,36_R01,36_R01,Wash
B,34_R02,34_R02,34_R02,Wash,35_R02,35_R02,35_R02,Wash,36_R02,36_R02,36_R02,Wash
C,34_R03,34_R03,34_R03,Wash,35_R03,35_R03,35_R03,Wash,36_R03,36_R03,36_R03,Wash
D,34_R04,34_R04,34_R04,Wash,35_R04,35_R04,35_R04,Wash,36_R04,36_R04,36_R04,Wash
E,34_R05,34_R05,34_R05,Wash,35_R05,35_R05,35_R05,Wash,36_R05,36_R05,36_R05,Wash
F,34_R06,34_R06,34_R06,Wash,35_R06,35_R06,35_R06,Wash,36_R06,36_R06,36_R06,Wash
G,34_no worms,34_no worms,34_no worms,Wash,35_no worms,35_no worms,35_no worms,Wash,36_no worms,36_no worms,36_no worms,Wash
H,34_no food,34_no food,34_no food,Wash,35_no food,35_no food,35_no food,Wash,36_no food,36_no food,36_no food,Wash
