row,1,2,3,4,5,6,7,8,9,10,11,12
A,52_R01,52_R01,52_R01,Wash,53_R01,53_R01,53_R01,Wash,54_R01,54_R01,54_R01,Wash
B,52_R02,52_R02,52_R02,Wash,53_R02,53_R02,53_R02,Wash,54_R02,54_R02,54_R02,Wash
C,52_R03,52_R03,52_R03,Wash,53_R03,53_R03,53_R03,Wash,54_R03,54_R03,54_R03,Wash
D,52_R04,52_R04,52_R04,Wash,53_R04,53_R04,53_R04,Wash,54_R04,54_R04,54_R04,Wash
E,52_R05,52_R05,52_R05,Wash,53_R05,53_R05,53_R05,Wash,54_R05,54_R05,54_R05,Wash
F,52_R06,52_R06,52_R06,Wash,53_R06,53_R06,53_R06,Wash,54_R06,54_R06,54_R06,Wash
G,52_no worms,52_no worms,52_no worms,Wash,53_no worms,53_no worms,53_no worms,Wash,54_no worms,54_no worms,54_no worms,Wash
H,52_no food,52_no food,52_no food,Wash,53_no food,53_no food,53_no food,Wash,54_no food,54_no food,54_no food,Wash
