row,1,2,3,4,5,6,7,8,9,10,11,12
A,40_R01,40_R01,40_R01,Wash,41_R01,41_R01,41_R01,Wash,42_R01,42_R01,42_R01,Wash
B,40_R02,40_R02,40_R02,Wash,41_R02,41_R02,41_R02,Wash,42_R02,42_R02,42_R02,Wash
C,40_R03,40_R03,40_R03,Wash,41_R03,41_R03,41_R03,Wash,42_R03,42_R03,42_R03,Wash
D,40_R04,40_R04,40_R04,Wash,41_R04,41_R04,41_R04,Wash,42_R04,42_R04,42_R04,Wash
E,40_R05,40_R05,40_R05,Wash,41_R05,41_R05,41_R05,Wash,42_R05,42_R05,42_R05,Wash
F,40_R06,40_R06,40_R06,Wash,41_R06,41_R06,41_R06,Wash,42_R06,42_R06,42_R06,Wash
G,40_no worms,40_no worms,40_no worms,Wash,41_no worms,41_no worms,41_no worms,Wash,42_no worms,42_no worms,42_no worms,Wash
H,40_no food,40_no food,40_no food,Wash,41_no food,41_no food,41_no food,Wash,42_no food,42_no food,42_no food,Wash
