row,1,2,3,4,5,6,7,8,9,10,11,12
A,49_R01,49_R01,49_R01,Wash,50_R01,50_R01,50_R01,Wash,51_R01,51_R01,51_R01,Wash
B,49_R02,49_R02,49_R02,Wash,50_R02,50_R02,50_R02,Wash,51_R02,51_R02,51_R02,Wash
C,49_R03,49_R03,49_R03,Wash,50_R03,50_R03,50_R03,Wash,51_R03,51_R03,51_R03,Wash
D,49_R04,49_R04,49_R04,Wash,50_R04,50_R04,50_R04,Wash,51_R04,51_R04,51_R04,Wash
E,49_R05,49_R05,49_R05,Wash,50_R05,50_R05,50_R05,Wash,51_R05,51_R05,51_R05,Wash
F,49_R06,49_R06,49_R06,Wash,50_R06,50_R06,50_R06,Wash,51_R06,51_R06,51_R06,Wash
G,49_no worms,49_no worms,49_no worms,Wash,50_no worms,50_no worms,50_no worms,Wash,51_no worms,51_no worms,51_no worms,Wash
H,49_no food,49_no food,49_no food,Wash,50_no food,50_no food,50_no food,Wash,51_no food,51_no food,51_no food,Wash
