row,1,2,3,4,5,6,7,8,9,10,11,12
A,31_R01,31_R01,31_R01,Wash,32_R01,32_R01,32_R01,Wash,33_R01,33_R01,33_R01,Wash
B,31_R02,31_R02,31_R02,Wash,32_R02,32_R02,32_R02,Wash,33_R02,33_R02,33_R02,Wash
C,31_R03,31_R03,31_R03,Wash,32_R03,32_R03,32_R03,Wash,33_R03,33_R03,33_R03,Wash
D,31_R04,31_R04,31_R04,Wash,32_R04,32_R04,32_R04,Wash,33_R04,33_R04,33_R04,Wash
E,31_R05,31_R05,31_R05,Wash,32_R05,32_R05,32_R05,Wash,33_R05,33_R05,33_R05,Wash
F,31_R06,31_R06,31_R06,Wash,32_R06,32_R06,32_R06,Wash,33_R06,33_R06,33_R06,Wash
G,31_no worms,31_no worms,31_no worms,Wash,32_no worms,32_no worms,32_no worms,Wash,33_no worms,33_no worms,33_no worms,Wash
H,31_no food,31_no food,31_no food,Wash,32_no food,32_no food,32_no food,Wash,33_no food,33_no food,33_no food,Wash
