row,1,2,3,4,5,6,7,8,9,10,11,12
A,43_R01,43_R01,43_R01,Wash,44_R01,44_R01,44_R01,Wash,45_R01,45_R01,45_R01,Wash
B,43_R02,43_R02,43_R02,Wash,44_R02,44_R02,44_R02,Wash,45_R02,45_R02,45_R02,Wash
C,43_R03,43_R03,43_R03,Wash,44_R03,44_R03,44_R03,Wash,45_R03,45_R03,45_R03,Wash
D,43_R04,43_R04,43_R04,Wash,44_R04,44_R04,44_R04,Wash,45_R04,45_R04,45_R04,Wash
E,43_R05,43_R05,43_R05,Wash,44_R05,44_R05,44_R05,Wash,45_R05,45_R05,45_R05,Wash
F,43_R06,43_R06,43_R06,Wash,44_R06,44_R06,44_R06,Wash,45_R06,45_R06,45_R06,Wash
G,43_no worms,43_no worms,43_no worms,Wash,44_no worms,44_no worms,44_no worms,Wash,45_no worms,45_no worms,45_no worms,Wash
H,43_no food,43_no food,43_no food,Wash,44_no food,44_no food,44_no food,Wash,45_no food,45_no food,45_no food,Wash
