row,1,2,3,4,5,6,7,8,9,10,11,12
A,16_R01,16_R01,16_R01,Wash,17_R01,17_R01,17_R01,Wash,18_R01,18_R01,18_R01,Wash
B,16_R02,16_R02,16_R02,Wash,17_R02,17_R02,17_R02,Wash,18_R02,18_R02,18_R02,Wash
C,16_R03,16_R03,16_R03,Wash,17_R03,17_R03,17_R03,Wash,18_R03,18_R03,18_R03,Wash
D,16_R04,16_R04,16_R04,Wash,17_R04,17_R04,17_R04,Wash,18_R04,18_R04,18_R04,Wash
E,16_R05,16_R05,16_R05,Wash,17_R05,17_R05,17_R05,Wash,18_R05,18_R05,18_R05,Wash
F,16_R06,16_R06,16_R06,Wash,17_R06,17_R06,17_R06,Wash,18_R06,18_R06,18_R06,Wash
G,16_no worms,16_no worms,16_no worms,Wash,17_no worms,17_no worms,17_no worms,Wash,18_no worms,18_no worms,18_no worms,Wash
H,16_no food,16_no food,16_no food,Wash,17_no food,17_no food,17_no food,Wash,18_no food,18_no food,18_no food,Wash
