row,1,2,3,4,5,6,7,8,9,10,11,12
A,46_R01,46_R01,46_R01,Wash,47_R01,47_R01,47_R01,Wash,48_R01,48_R01,48_R01,Wash
B,46_R02,46_R02,46_R02,Wash,47_R02,47_R02,47_R02,Wash,48_R02,48_R02,48_R02,Wash
C,46_R03,46_R03,46_R03,Wash,47_R03,47_R03,47_R03,Wash,48_R03,48_R03,48_R03,Wash
D,46_R04,46_R04,46_R04,Wash,47_R04,47_R04,47_R04,Wash,48_R04,48_R04,48_R04,Wash
E,46_R05,46_R05,46_R05,Wash,47_R05,47_R05,47_R05,Wash,48_R05,48_R05,48_R05,Wash
F,46_R06,46_R06,46_R06,Wash,47_R06,47_R06,47_R06,Wash,48_R06,48_R06,48_R06,Wash
G,46_no worms,46_no worms,46_no worms,Wash,47_no worms,47_no worms,47_no worms,Wash,48_no worms,48_no worms,48_no worms,Wash
H,46_no food,46_no food,46_no food,Wash,47_no food,47_no food,47_no food,Wash,48_no food,48_no food,48_no food,Wash
