row,1,2,3,4,5,6,7,8,9,10,11,12
A,70_R01,70_R01,70_R01,Wash,71_R01,71_R01,71_R01,Wash,72_R01,72_R01,72_R01,Wash
B,70_R02,70_R02,70_R02,Wash,71_R02,71_R02,71_R02,Wash,72_R02,72_R02,72_R02,Wash
C,70_R03,70_R03,70_R03,Wash,71_R03,71_R03,71_R03,Wash,72_R03,72_R03,72_R03,Wash
D,70_R04,70_R04,70_R04,Wash,71_R04,71_R04,71_R04,Wash,72_R04,72_R04,72_R04,Wash
E,70_R05,70_R05,70_R05,Wash,71_R05,71_R05,71_R05,Wash,72_R05,72_R05,72_R05,Wash
F,70_R06,70_R06,70_R06,Wash,71_R06,71_R06,71_R06,Wash,72_R06,72_R06,72_R06,Wash
G,70_no worms,70_no worms,70_no worms,Wash,71_no worms,71_no worms,71_no worms,Wash,72_no worms,72_no worms,72_no worms,Wash
H,70_no food,70_no food,70_no food,Wash,71_no food,71_no food,71_no food,Wash,72_no food,72_no food,72_no food,Wash
