row,1,2,3,4,5,6,7,8,9,10,11,12
A,67_R01,67_R01,67_R01,Wash,68_R01,68_R01,68_R01,Wash,69_R01,69_R01,69_R01,Wash
B,67_R02,67_R02,67_R02,Wash,68_R02,68_R02,68_R02,Wash,69_R02,69_R02,69_R02,Wash
C,67_R03,67_R03,67_R03,Wash,68_R03,68_R03,68_R03,Wash,69_R03,69_R03,69_R03,Wash
D,67_R04,67_R04,67_R04,Wash,68_R04,68_R04,68_R04,Wash,69_R04,69_R04,69_R04,Wash
E,67_R05,67_R05,67_R05,Wash,68_R05,68_R05,68_R05,Wash,69_R05,69_R05,69_R05,Wash
F,67_R06,67_R06,67_R06,Wash,68_R06,68_R06,68_R06,Wash,69_R06,69_R06,69_R06,Wash
G,67_no worms,67_no worms,67_no worms,Wash,68_no worms,68_no worms,68_no worms,Wash,69_no worms,69_no worms,69_no worms,Wash
H,67_no food,67_no food,67_no food,Wash,68_no food,68_no food,68_no food,Wash,69_no food,69_no food,69_no food,Wash
