row,1,2,3,4,5,6,7,8,9,10,11,12
A,07_R01,07_R01,07_R01,Wash,08_R01,08_R01,08_R01,Wash,09_R01,09_R01,09_R01,Wash
B,07_R02,07_R02,07_R02,Wash,08_R02,08_R02,08_R02,Wash,09_R02,09_R02,09_R02,Wash
C,07_R03,07_R03,07_R03,Wash,08_R03,08_R03,08_R03,Wash,09_R03,09_R03,09_R03,Wash
D,07_R04,07_R04,07_R04,Wash,08_R04,08_R04,08_R04,Wash,09_R04,09_R04,09_R04,Wash
E,07_R05,07_R05,07_R05,Wash,08_R05,08_R05,08_R05,Wash,09_R05,09_R05,09_R05,Wash
F,07_R06,07_R06,07_R06,Wash,08_R06,08_R06,08_R06,Wash,09_R06,09_R06,09_R06,Wash
G,07_no worms,07_no worms,07_no worms,Wash,08_no worms,08_no worms,08_no worms,Wash,09_no worms,09_no worms,09_no worms,Wash
H,07_no food,07_no food,07_no food,Wash,08_no food,08_no food,08_no food,Wash,09_no food,09_no food,09_no food,Wash
