row,1,2,3,4,5,6,7,8,9,10,11,12
A,25_R01,25_R01,25_R01,Wash,26_R01,26_R01,26_R01,Wash,27_R01,27_R01,27_R01,Wash
B,25_R02,25_R02,25_R02,Wash,26_R02,26_R02,26_R02,Wash,27_R02,27_R02,27_R02,Wash
C,25_R03,25_R03,25_R03,Wash,26_R03,26_R03,26_R03,Wash,27_R03,27_R03,27_R03,Wash
D,25_R04,25_R04,25_R04,Wash,26_R04,26_R04,26_R04,Wash,27_R04,27_R04,27_R04,Wash
E,25_R05,25_R05,25_R05,Wash,26_R05,26_R05,26_R05,Wash,27_R05,27_R05,27_R05,Wash
F,25_R06,25_R06,25_R06,Wash,26_R06,26_R06,26_R06,Wash,27_R06,27_R06,27_R06,Wash
G,25_no worms,25_no worms,25_no worms,Wash,26_no worms,26_no worms,26_no worms,Wash,27_no worms,27_no worms,27_no worms,Wash
H,25_no food,25_no food,25_no food,Wash,26_no food,26_no food,26_no food,Wash,27_no food,27_no food,27_no food,Wash
