row,1,2,3,4,5,6,7,8,9,10,11,12
A,37_R01,37_R01,37_R01,Wash,38_R01,38_R01,38_R01,Wash,39_R01,39_R01,39_R01,Wash
B,37_R02,37_R02,37_R02,Wash,38_R02,38_R02,38_R02,Wash,39_R02,39_R02,39_R02,Wash
C,37_R03,37_R03,37_R03,Wash,38_R03,38_R03,38_R03,Wash,39_R03,39_R03,39_R03,Wash
D,37_R04,37_R04,37_R04,Wash,38_R04,38_R04,38_R04,Wash,39_R04,39_R04,39_R04,Wash
E,37_R05,37_R05,37_R05,Wash,38_R05,38_R05,38_R05,Wash,39_R05,39_R05,39_R05,Wash
F,37_R06,37_R06,37_R06,Wash,38_R06,38_R06,38_R06,Wash,39_R06,39_R06,39_R06,Wash
G,37_no worms,37_no worms,37_no worms,Wash,38_no worms,38_no worms,38_no worms,Wash,39_no worms,39_no worms,39_no worms,Wash
H,37_no food,37_no food,37_no food,Wash,38_no food,38_no food,38_no food,Wash,39_no food,39_no food,39_no food,Wash
