row,1,2,3,4,5,6,7,8,9,10,11,12
A,13_R01,13_R01,13_R01,Wash,14_R01,14_R01,14_R01,Wash,15_R01,15_R01,15_R01,Wash
B,13_R02,13_R02,13_R02,Wash,14_R02,14_R02,14_R02,Wash,15_R02,15_R02,15_R02,Wash
C,13_R03,13_R03,13_R03,Wash,14_R03,14_R03,14_R03,Wash,15_R03,15_R03,15_R03,Wash
D,13_R04,13_R04,13_R04,Wash,14_R04,14_R04,14_R04,Wash,15_R04,15_R04,15_R04,Wash
E,13_R05,13_R05,13_R05,Wash,14_R05,14_R05,14_R05,Wash,15_R05,15_R05,15_R05,Wash
F,13_R06,13_R06,13_R06,Wash,14_R06,14_R06,14_R06,Wash,15_R06,15_R06,15_R06,Wash
G,13_no worms,13_no worms,13_no worms,Wash,14_no worms,14_no worms,14_no worms,Wash,15_no worms,15_no worms,15_no worms,Wash
H,13_no food,13_no food,13_no food,Wash,14_no food,14_no food,14_no food,Wash,15_no food,15_no food,15_no food,Wash
