row,1,2,3,4,5,6,7,8,9,10,11,12
A,22_R01,22_R01,22_R01,Wash,23_R01,23_R01,23_R01,Wash,24_R01,24_R01,24_R01,Wash
B,22_R02,22_R02,22_R02,Wash,23_R02,23_R02,23_R02,Wash,24_R02,24_R02,24_R02,Wash
C,22_R03,22_R03,22_R03,Wash,23_R03,23_R03,23_R03,Wash,24_R03,24_R03,24_R03,Wash
D,22_R04,22_R04,22_R04,Wash,23_R04,23_R04,23_R04,Wash,24_R04,24_R04,24_R04,Wash
E,22_R05,22_R05,22_R05,Wash,23_R05,23_R05,23_R05,Wash,24_R05,24_R05,24_R05,Wash
F,22_R06,22_R06,22_R06,Wash,23_R06,23_R06,23_R06,Wash,24_R06,24_R06,24_R06,Wash
G,22_no worms,22_no worms,22_no worms,Wash,23_no worms,23_no worms,23_no worms,Wash,24_no worms,24_no worms,24_no worms,Wash
H,22_no food,22_no food,22_no food,Wash,23_no food,23_no food,23_no food,Wash,24_no food,24_no food,24_no food,Wash
