row,1,2,3,4,5,6,7,8,9,10,11,12
A,55_R01,55_R01,55_R01,Wash,56_R01,56_R01,56_R01,Wash,57_R01,57_R01,57_R01,Wash
B,55_R02,55_R02,55_R02,Wash,56_R02,56_R02,56_R02,Wash,57_R02,57_R02,57_R02,Wash
C,55_R03,55_R03,55_R03,Wash,56_R03,56_R03,56_R03,Wash,57_R03,57_R03,57_R03,Wash
D,55_R04,55_R04,55_R04,Wash,56_R04,56_R04,56_R04,Wash,57_R04,57_R04,57_R04,Wash
E,55_R05,55_R05,55_R05,Wash,56_R05,56_R05,56_R05,Wash,57_R05,57_R05,57_R05,Wash
F,55_R06,55_R06,55_R06,Wash,56_R06,56_R06,56_R06,Wash,57_R06,57_R06,57_R06,Wash
G,55_no worms,55_no worms,55_no worms,Wash,56_no worms,56_no worms,56_no worms,Wash,57_no worms,57_no worms,57_no worms,Wash
H,55_no food,55_no food,55_no food,Wash,56_no food,56_no food,56_no food,Wash,57_no food,57_no food,57_no food,Wash
