row,1,2,3,4,5,6,7,8,9,10,11,12
A,58_R01,58_R01,58_R01,Wash,59_R01,59_R01,59_R01,Wash,60_R01,60_R01,60_R01,Wash
B,58_R02,58_R02,58_R02,Wash,59_R02,59_R02,59_R02,Wash,60_R02,60_R02,60_R02,Wash
C,58_R03,58_R03,58_R03,Wash,59_R03,59_R03,59_R03,Wash,60_R03,60_R03,60_R03,Wash
D,58_R04,58_R04,58_R04,Wash,59_R04,59_R04,59_R04,Wash,60_R04,60_R04,60_R04,Wash
E,58_R05,58_R05,58_R05,Wash,59_R05,59_R05,59_R05,Wash,60_R05,60_R05,60_R05,Wash
F,58_R06,58_R06,58_R06,Wash,59_R06,59_R06,59_R06,Wash,60_R06,60_R06,60_R06,Wash
G,58_no worms,58_no worms,58_no worms,Wash,59_no worms,59_no worms,59_no worms,Wash,60_no worms,60_no worms,60_no worms,Wash
H,58_no food,58_no food,58_no food,Wash,59_no food,59_no food,59_no food,Wash,60_no food,60_no food,60_no food,Wash
