row,1,2,3,4,5,6,7,8,9,10,11,12
A,28_R01,28_R01,28_R01,Wash,29_R01,29_R01,29_R01,Wash,30_R01,30_R01,30_R01,Wash
B,28_R02,28_R02,28_R02,Wash,29_R02,29_R02,29_R02,Wash,30_R02,30_R02,30_R02,Wash
C,28_R03,28_R03,28_R03,Wash,29_R03,29_R03,29_R03,Wash,30_R03,30_R03,30_R03,Wash
D,28_R04,28_R04,28_R04,Wash,29_R04,29_R04,29_R04,Wash,30_R04,30_R04,30_R04,Wash
E,28_R05,28_R05,28_R05,Wash,29_R05,29_R05,29_R05,Wash,30_R05,30_R05,30_R05,Wash
F,28_R06,28_R06,28_R06,Wash,29_R06,29_R06,29_R06,Wash,30_R06,30_R06,30_R06,Wash
G,28_no worms,28_no worms,28_no worms,Wash,29_no worms,29_no worms,29_no worms,Wash,30_no worms,30_no worms,30_no worms,Wash
H,28_no food,28_no food,28_no food,Wash,29_no food,29_no food,29_no food,Wash,30_no food,30_no food,30_no food,Wash
