row,1,2,3,4,5,6,7,8,9,10,11,12
A,64_R01,64_R01,64_R01,Wash,65_R01,65_R01,65_R01,Wash,66_R01,66_R01,66_R01,Wash
B,64_R02,64_R02,64_R02,Wash,65_R02,65_R02,65_R02,Wash,66_R02,66_R02,66_R02,Wash
C,64_R03,64_R03,64_R03,Wash,65_R03,65_R03,65_R03,Wash,66_R03,66_R03,66_R03,Wash
D,64_R04,64_R04,64_R04,Wash,65_R04,65_R04,65_R04,Wash,66_R04,66_R04,66_R04,Wash
E,64_R05,64_R05,64_R05,Wash,65_R05,65_R05,65_R05,Wash,66_R05,66_R05,66_R05,Wash
F,64_R06,64_R06,64_R06,Wash,65_R06,65_R06,65_R06,Wash,66_R06,66_R06,66_R06,Wash
G,64_no worms,64_no worms,64_no worms,Wash,65_no worms,65_no worms,65_no worms,Wash,66_no worms,66_no worms,66_no worms,Wash
H,64_no food,64_no food,64_no food,Wash,65_no food,65_no food,65_no food,Wash,66_no food,66_no food,66_no food,Wash
