date,experiment,round,assay,plate,row,col,sort,TOF,EXT,time,green,yellow,red,norm.EXT,norm.green,norm.yellow,norm.red,object,call50,stage,strain,timepoint,replicate,control,contamination
20190426,GrowthTrial,2,NA,1,A,1,0,149,206,1092,9,7,6,1.38255033557047,0.0604026845637584,0.0469798657718121,0.0402684563758389,0.999997945644939,object,L2/L3,N2,H 04,R01,None,FALSE
20190426,GrowthTrial,2,NA,1,A,1,0,107,126,1233,7,6,3,1.17757009345794,0.0654205607476635,0.0560747663551402,0.0280373831775701,0.999662872270075,object,L2/L3,N2,H 04,R01,None,FALSE
20190426,GrowthTrial,2,NA,1,A,1,0,102,104,2418,5,6,5,1.01960784313725,0.0490196078431373,0.0588235294117647,0.0490196078431373,0.999981686894537,object,L2/L3,N2,H 04,R01,None,FALSE
20190426,GrowthTrial,2,NA,1,A,1,0,102,128,4852,7,5,3,1.25490196078431,0.0686274509803922,0.0490196078431373,0.0294117647058824,0.9987551645094,object,L2/L3,N2,H 04,R01,None,FALSE
20190426,GrowthTrial,2,NA,1,A,1,0,97,106,5382,4,3,4,1.09278350515464,0.0412371134020619,0.0309278350515464,0.0412371134020619,0.999285622282959,object,L2/L3,N2,H 04,R01,None,FALSE
20190426,GrowthTrial,2,NA,1,A,2,0,132,236,0,13,10,9,1.78787878787879,0.0984848484848485,0.0757575757575758,0.0681818181818182,0.999999660579877,object,L2/L3,N2,H 04,R01,None,FALSE
20190426,GrowthTrial,2,NA,1,A,2,0,141,283,63,14,11,11,2.00709219858156,0.099290780141844,0.0780141843971631,0.0780141843971631,0.999999946864104,object,L2/L3,N2,H 04,R01,None,FALSE
20190426,GrowthTrial,2,NA,1,A,2,0,108,127,63,6,4,5,1.17592592592593,0.0555555555555556,0.037037037037037,0.0462962962962963,0.999890699341648,object,L2/L3,N2,H 04,R01,None,FALSE
20190426,GrowthTrial,2,NA,1,A,2,0,101,109,1903,5,4,4,1.07920792079208,0.0495049504950495,0.0396039603960396,0.0396039603960396,0.999696079960645,object,L2/L3,N2,H 04,R01,None,FALSE
20190426,GrowthTrial,2,NA,1,A,2,0,102,146,2278,7,5,4,1.43137254901961,0.0686274509803922,0.0490196078431373,0.0392156862745098,0.999158482601573,object,L2/L3,N2,H 04,R01,None,FALSE
